datetime,temperature_forecast,lower_bound,upper_bound
2026-02-17 00:00:00+03:00,-12.5625,-12.5625,-12.0
2026-02-17 01:00:00+03:00,-12.375,-12.375,-11.375
2026-02-17 02:00:00+03:00,-12.25,-12.25,-11.0
2026-02-17 03:00:00+03:00,-12.125,-12.125,-10.625
2026-02-17 04:00:00+03:00,-12.125,-12.125,-10.4375
2026-02-17 05:00:00+03:00,-12.0,-12.0,-10.1875
2026-02-17 06:00:00+03:00,-12.0,-12.0,-10.0
2026-02-17 07:00:00+03:00,-12.0,-12.0,-9.75
2026-02-17 08:00:00+03:00,-11.9375,-11.9375,-9.5625
2026-02-17 09:00:00+03:00,-11.875,-11.875,-9.375
2026-02-17 10:00:00+03:00,-11.875,-11.875,-9.25
2026-02-17 11:00:00+03:00,-11.875,-11.875,-9.125
2026-02-17 12:00:00+03:00,-11.8125,-11.8125,-8.9375
2026-02-17 13:00:00+03:00,-11.625,-11.625,-8.6875
2026-02-17 14:00:00+03:00,-11.6875,-11.6875,-8.625
2026-02-17 15:00:00+03:00,-11.75,-11.75,-8.5625
2026-02-17 16:00:00+03:00,-11.75,-11.75,-8.4375
2026-02-17 17:00:00+03:00,-11.625,-11.625,-8.25
2026-02-17 18:00:00+03:00,-11.625,-11.625,-8.125
2026-02-17 19:00:00+03:00,-11.5,-11.5,-7.875
2026-02-17 20:00:00+03:00,-11.375,-11.375,-7.71875
2026-02-17 21:00:00+03:00,-11.125,-11.125,-7.40625
2026-02-17 22:00:00+03:00,-11.0,-11.0,-7.15625
2026-02-17 23:00:00+03:00,-10.9375,-10.9375,-7.0625
2026-02-18 00:00:00+03:00,-10.875,-10.875,-6.96875
2026-02-18 01:00:00+03:00,-10.875,-10.875,-6.9375
2026-02-18 02:00:00+03:00,-10.875,-10.875,-6.875
2026-02-18 03:00:00+03:00,-10.875,-10.875,-6.84375
2026-02-18 04:00:00+03:00,-10.8125,-10.8125,-6.8125
2026-02-18 05:00:00+03:00,-10.6875,-10.6875,-6.75
2026-02-18 06:00:00+03:00,-10.6875,-10.6875,-6.71875
2026-02-18 07:00:00+03:00,-10.5,-10.5,-6.40625
2026-02-18 08:00:00+03:00,-10.375,-10.375,-6.1875
2026-02-18 09:00:00+03:00,-10.125,-10.125,-5.875
2026-02-18 10:00:00+03:00,-10.0625,-10.0625,-5.65625
2026-02-18 11:00:00+03:00,-9.875,-9.875,-5.4375
2026-02-18 12:00:00+03:00,-9.8125,-9.8125,-5.375
2026-02-18 13:00:00+03:00,-9.6875,-9.6875,-5.25
2026-02-18 14:00:00+03:00,-9.625,-9.625,-5.0625
2026-02-18 15:00:00+03:00,-9.625,-9.625,-5.03125
2026-02-18 16:00:00+03:00,-9.5,-9.5,-4.875
2026-02-18 17:00:00+03:00,-9.4375,-9.4375,-4.71875
2026-02-18 18:00:00+03:00,-9.4375,-9.4375,-4.6875
2026-02-18 19:00:00+03:00,-9.3125,-9.3125,-4.5
2026-02-18 20:00:00+03:00,-9.25,-9.25,-4.3125
2026-02-18 21:00:00+03:00,-9.1875,-9.1875,-4.1875
2026-02-18 22:00:00+03:00,-9.1875,-9.1875,-4.125
2026-02-18 23:00:00+03:00,-9.0625,-9.0625,-4.03125
2026-02-19 00:00:00+03:00,-9.0,-9.0,-3.9375
2026-02-19 01:00:00+03:00,-9.125,-9.125,-4.09375
2026-02-19 02:00:00+03:00,-9.25,-9.25,-4.21875
2026-02-19 03:00:00+03:00,-9.4375,-9.4375,-4.375
2026-02-19 04:00:00+03:00,-9.5625,-9.5625,-4.40625
2026-02-19 05:00:00+03:00,-9.6875,-9.6875,-4.59375
2026-02-19 06:00:00+03:00,-9.8125,-9.8125,-4.6875
2026-02-19 07:00:00+03:00,-9.875,-9.875,-4.78125
2026-02-19 08:00:00+03:00,-10.0,-10.0,-4.9375
2026-02-19 09:00:00+03:00,-10.1875,-10.1875,-5.125
2026-02-19 10:00:00+03:00,-10.3125,-10.3125,-5.15625
2026-02-19 11:00:00+03:00,-10.375,-10.375,-5.1875
2026-02-19 12:00:00+03:00,-10.4375,-10.4375,-5.1875
2026-02-19 13:00:00+03:00,-10.3125,-10.3125,-5.03125
2026-02-19 14:00:00+03:00,-10.3125,-10.3125,-4.96875
2026-02-19 15:00:00+03:00,-10.4375,-10.4375,-5.09375
2026-02-19 16:00:00+03:00,-10.5625,-10.5625,-5.09375
2026-02-19 17:00:00+03:00,-10.5625,-10.5625,-4.96875
2026-02-19 18:00:00+03:00,-10.625,-10.625,-4.8125
2026-02-19 19:00:00+03:00,-10.625,-10.625,-4.71875
2026-02-19 20:00:00+03:00,-10.625,-10.625,-4.59375
2026-02-19 21:00:00+03:00,-10.5625,-10.5625,-4.4375
2026-02-19 22:00:00+03:00,-10.5,-10.5,-4.21875
2026-02-19 23:00:00+03:00,-10.4375,-10.4375,-4.125
2026-02-20 00:00:00+03:00,-10.5,-10.5,-4.09375
2026-02-20 01:00:00+03:00,-10.375,-10.375,-3.875
2026-02-20 02:00:00+03:00,-10.25,-10.25,-3.65625
2026-02-20 03:00:00+03:00,-10.3125,-10.3125,-3.6875
2026-02-20 04:00:00+03:00,-10.25,-10.25,-3.5625
2026-02-20 05:00:00+03:00,-10.1875,-10.1875,-3.46875
2026-02-20 06:00:00+03:00,-10.25,-10.25,-3.4375
2026-02-20 07:00:00+03:00,-10.3125,-10.3125,-3.4375
2026-02-20 08:00:00+03:00,-10.5,-10.5,-3.65625
2026-02-20 09:00:00+03:00,-10.6875,-10.6875,-3.8125
2026-02-20 10:00:00+03:00,-10.9375,-10.9375,-3.96875
2026-02-20 11:00:00+03:00,-10.875,-10.875,-3.90625
2026-02-20 12:00:00+03:00,-10.9375,-10.9375,-3.9375
2026-02-20 13:00:00+03:00,-11.0625,-11.0625,-4.03125
2026-02-20 14:00:00+03:00,-11.125,-11.125,-4.09375
2026-02-20 15:00:00+03:00,-11.25,-11.25,-4.21875
2026-02-20 16:00:00+03:00,-11.4375,-11.4375,-4.3125
2026-02-20 17:00:00+03:00,-11.75,-11.75,-4.5625
2026-02-20 18:00:00+03:00,-11.75,-11.75,-4.53125
2026-02-20 19:00:00+03:00,-11.75,-11.75,-4.59375
2026-02-20 20:00:00+03:00,-11.875,-11.875,-4.71875
2026-02-20 21:00:00+03:00,-11.75,-11.75,-4.59375
2026-02-20 22:00:00+03:00,-11.5625,-11.5625,-4.4375
2026-02-20 23:00:00+03:00,-11.375,-11.375,-4.25
2026-02-21 00:00:00+03:00,-11.125,-11.125,-4.09375
2026-02-21 01:00:00+03:00,-10.8125,-10.8125,-3.8125
2026-02-21 02:00:00+03:00,-10.75,-10.75,-3.84375
2026-02-21 03:00:00+03:00,-10.875,-10.875,-4.09375
2026-02-21 04:00:00+03:00,-11.0,-11.0,-4.375
2026-02-21 05:00:00+03:00,-11.1875,-11.1875,-4.625
2026-02-21 06:00:00+03:00,-11.375,-11.375,-4.875
2026-02-21 07:00:00+03:00,-11.5,-11.5,-4.9375
2026-02-21 08:00:00+03:00,-11.5625,-11.5625,-5.03125
2026-02-21 09:00:00+03:00,-11.5625,-11.5625,-5.0
2026-02-21 10:00:00+03:00,-11.625,-11.625,-5.0625
2026-02-21 11:00:00+03:00,-11.6875,-11.6875,-5.125
2026-02-21 12:00:00+03:00,-11.625,-11.625,-5.09375
2026-02-21 13:00:00+03:00,-11.75,-11.75,-5.25
2026-02-21 14:00:00+03:00,-11.875,-11.875,-5.3125
2026-02-21 15:00:00+03:00,-11.875,-11.875,-5.375
2026-02-21 16:00:00+03:00,-12.0,-12.0,-5.4375
2026-02-21 17:00:00+03:00,-12.0,-12.0,-5.4375
2026-02-21 18:00:00+03:00,-12.0,-12.0,-5.3125
2026-02-21 19:00:00+03:00,-12.0,-12.0,-5.28125
2026-02-21 20:00:00+03:00,-12.0625,-12.0625,-5.21875
2026-02-21 21:00:00+03:00,-11.875,-11.875,-5.0625
2026-02-21 22:00:00+03:00,-11.9375,-11.9375,-5.09375
2026-02-21 23:00:00+03:00,-12.0625,-12.0625,-5.09375
2026-02-22 00:00:00+03:00,-12.0,-12.0,-5.0625
2026-02-22 01:00:00+03:00,-11.875,-11.875,-4.9375
2026-02-22 02:00:00+03:00,-12.0625,-12.0625,-5.0
2026-02-22 03:00:00+03:00,-12.125,-12.125,-5.0
2026-02-22 04:00:00+03:00,-12.25,-12.25,-5.0
2026-02-22 05:00:00+03:00,-12.125,-12.125,-4.9375
2026-02-22 06:00:00+03:00,-12.25,-12.25,-4.9375
2026-02-22 07:00:00+03:00,-12.5625,-12.5625,-5.0625
